股票代码_StkCd,日期_Date,风险因子_流通市值加权_持有期收益_Beta_TMV_H
603077,2015/07/31,0.2664
603077,2015/08/24,0.5732
603077,2015/09/30,0.6878
603077,2015/10/30,0.7733
603077,2015/11/30,0.7469
603077,2015/12/31,1.502
603077,2016/01/29,1.4875
603077,2016/02/29,1.5106
603077,2016/03/31,1.3793
603077,2016/04/29,1.2985
603077,2016/05/31,1.1172
603077,2016/06/30,1.1006
603077,2016/07/29,1.3885
603077,2016/08/31,1.4037
603077,2016/09/30,1.2529
603077,2016/10/31,1.016
603077,2016/11/30,0.9304
603077,2016/12/30,0.938
603077,2017/01/26,0.5327
603077,2017/02/28,0.4657
603077,2017/03/31,-0.1384
603077,2017/04/28,-0.0467
603077,2017/05/31,-0.2079
603077,2017/06/30,-0.1057
603077,2017/07/31,0.0841
603077,2017/08/31,-0.1336
603077,2017/09/29,0.0796
603077,2017/10/31,0.0757
603077,2017/11/30,0.4308
603077,2017/12/29,0.7577
603077,2018/01/31,0.9403
603077,2018/02/28,0.4723
603077,2018/03/30,0.4463
603077,2018/04/27,0.4759
603077,2018/05/31,0.4626
603077,2018/06/29,0.1914
603077,2018/07/31,0.1883
603077,2018/08/31,0.2783
603077,2018/09/28,0.1878
603077,2018/10/31,0.2148
603077,2018/11/30,0.2346
603077,2018/12/28,0.2705
603077,2019/01/31,0.0698
603077,2019/02/28,0.9911
603077,2019/03/29,0.962
603077,2019/04/30,0.946
603077,2019/05/31,0.9099
603077,2019/06/28,1.0063
603077,2019/07/31,0.9901
603077,2019/08/30,1.1026
603077,2019/09/30,1.1803
603077,2019/10/31,1.3817
603077,2019/11/29,1.4262
603077,2019/12/31,1.4789
603077,2020/01/23,1.4044
603077,2020/02/28,0.1881
603077,2020/03/31,0.4317
603077,2020/04/30,0.2564
603077,2020/05/29,0.352
603077,2020/06/30,0.3136
603077,2020/07/31,0.3901
603077,2020/08/31,0.2815
603077,2020/09/30,0.2104
603077,2020/10/30,0.2193
603077,2020/11/30,0.2908
603077,2020/12/31,0.2698
603077,2021/01/29,0.3288
603077,2021/02/26,0.6126
603077,2021/03/31,0.2005
603077,2021/04/30,0.193
603077,2021/05/31,0.3165
603077,2021/06/30,0.3478
603077,2021/07/30,0.2243
603077,2021/08/31,0.9552
603077,2021/09/30,0.8996
603077,2021/10/29,1.0979
603077,2021/11/30,1.496
603077,2021/12/31,1.5124
603078,2018/04/27,-0.4719
603078,2018/05/31,-0.4708
603078,2018/06/29,-0.2368
603078,2018/07/31,0.1458
603078,2018/08/31,0.2241
603078,2018/09/28,-0.097
603078,2018/10/31,-0.2708
603078,2018/11/30,-0.2721
603078,2018/12/28,-0.2681
603078,2019/01/31,-0.1735
603078,2019/02/28,1.012
603078,2019/03/29,1.2304
603078,2019/04/30,1.1786
603078,2019/05/31,0.4167
603078,2019/06/28,-0.003
603078,2019/07/31,0.0192
603078,2019/08/30,-0.0694
603078,2019/09/30,0.0519
603078,2019/10/31,-0.2274
603078,2019/11/29,-0.1635
603078,2019/12/31,-0.0489
603078,2020/01/23,0.0004
603078,2020/02/28,-2.1841
603078,2020/03/31,-1.4932
603078,2020/04/30,-0.709
603078,2020/05/29,0.9286
603078,2020/06/30,1.9722
603078,2020/07/31,0.7082
603078,2020/08/31,0.5315
603078,2020/09/30,0.9093
603078,2020/10/30,0.9308
603078,2020/11/30,0.6996
603078,2020/12/31,0.5522
603078,2021/01/29,0.9786
603078,2021/02/26,1.2544
603078,2021/03/31,0.9403
603078,2021/04/30,0.7892
603078,2021/05/31,1.1732
603078,2021/06/30,0.6645
603078,2021/07/30,-1.457
603078,2021/08/31,-2.1993
603078,2021/09/30,-3.594
603078,2021/10/29,-3.6614
603078,2021/11/30,-4.6423
603078,2021/12/31,-4.6091
603079,2018/09/28,0.6
603079,2018/10/31,0.0515
603079,2018/11/30,0.5536
603079,2018/12/28,0.3847
603079,2019/01/31,0.515
603079,2019/02/28,1.5783
603079,2019/03/29,1.5819
603079,2019/04/30,1.567
603079,2019/05/31,1.3481
603079,2019/06/28,1.3743
603079,2019/07/31,1.3766
603079,2019/08/30,1.017
603079,2019/09/30,1.2085
603079,2019/10/31,0.9905
603079,2019/11/29,1.1064
603079,2019/12/31,0.881
603079,2020/01/23,1.2711
603079,2020/02/28,-0.7905
603079,2020/03/31,0.5248
603079,2020/04/30,0.3241
603079,2020/05/29,0.5408
603079,2020/06/30,1.1909
603079,2020/07/31,0.8945
603079,2020/08/31,0.9008
603079,2020/09/30,1.248
603079,2020/10/30,1.2516
603079,2020/11/30,1.0215
603079,2020/12/31,0.8478
603079,2021/01/29,0.8002
603079,2021/02/26,1.8313
603079,2021/03/31,1.4766
603079,2021/04/30,1.4893
603079,2021/05/31,1.3851
603079,2021/06/30,1.1603
603079,2021/07/30,1.1235
603079,2021/08/31,1.073
603079,2021/09/30,0.693
603079,2021/10/29,0.7912
603079,2021/11/30,1.0691
603079,2021/12/31,1.3296
603080,2019/01/31,0.2029
603080,2019/02/28,0.8806
603080,2019/03/29,1.0424
603080,2019/04/30,1.1559
603080,2019/05/31,0.9351
603080,2019/06/28,1.1581
603080,2019/07/31,1.1826
603080,2019/08/30,1.2061
603080,2019/09/30,1.2332
603080,2019/10/31,1.197
603080,2019/11/29,1.3747
603080,2019/12/31,1.2749
603080,2020/01/23,1.4779
603080,2020/02/28,1.0228
603080,2020/03/31,0.8394
603080,2020/04/30,0.9132
603080,2020/05/29,1.5308
603080,2020/06/30,1.3854
603080,2020/07/31,1.3345
603080,2020/08/31,1.4418
603080,2020/09/30,1.8231
603080,2020/10/30,1.818
603080,2020/11/30,1.6768
603080,2020/12/31,1.677
603080,2021/01/29,1.841
603080,2021/02/26,1.7798
603080,2021/03/31,0.6846
603080,2021/04/30,0.9724
603080,2021/05/31,1.1369
603080,2021/06/30,1.3831
603080,2021/07/30,1.0829
603080,2021/08/31,1.3087
603080,2021/09/30,0.3719
603080,2021/10/29,0.6759
603080,2021/11/30,0.6703
603080,2021/12/31,0.9123
603081,2018/04/27,-0.2646
603081,2018/05/31,-0.3466
603081,2018/06/29,0.3709
603081,2018/07/31,0.6021
603081,2018/08/31,0.6304
603081,2018/09/28,0.7416
603081,2018/10/31,0.9224
603081,2018/11/30,1.0661
603081,2018/12/28,1.0048
603081,2019/01/31,1.1187
603081,2019/02/28,2.4352
603081,2019/03/29,2.6207
603081,2019/04/30,2.4426
603081,2019/05/31,2.3599
603081,2019/06/28,2.3754
603081,2019/07/31,2.4294
603081,2019/08/30,2.1931
603081,2019/09/30,2.2524
603081,2019/10/31,2.153
603081,2019/11/29,2.3449
603081,2019/12/31,2.0067
603081,2020/01/23,2.4304
603081,2020/02/28,0.9213
603081,2020/03/31,1.3628
603081,2020/04/30,1.2856
603081,2020/05/29,1.1996
603081,2020/06/30,1.0658
603081,2020/07/31,0.7112
603081,2020/08/31,0.7025
603081,2020/09/30,0.9461
603081,2020/10/30,0.9462
603081,2020/11/30,1.1159
603081,2020/12/31,1.2148
603081,2021/01/29,1.0433
603081,2021/02/26,1.063
603081,2021/03/31,0.5933
603081,2021/04/30,0.6316
603081,2021/05/31,0.6035
603081,2021/06/30,0.6338
603081,2021/07/30,0.6967
603081,2021/08/31,1.094
603081,2021/09/30,0.8138
603081,2021/10/29,0.8787
603081,2021/11/30,0.7238
603081,2021/12/31,1.2893
603083,2018/11/30,-0.9869
603083,2018/12/28,-1.0889
603083,2019/01/31,-1.0216
603083,2019/02/28,0.2145
603083,2019/03/29,0.6699
603083,2019/04/30,0.5179
603083,2019/05/31,0.6223
603083,2019/06/28,0.485
603083,2019/07/31,0.5372
603083,2019/08/30,0.81
603083,2019/09/30,1.0375
603083,2019/10/31,1.1798
603083,2019/11/29,0.9912
603083,2019/12/31,1.4203
603083,2020/01/23,1.7092
603083,2020/02/28,1.2405
603083,2020/03/31,1.0844
603083,2020/04/30,1.5936
603083,2020/05/29,1.3678
603083,2020/06/30,1.5489
603083,2020/07/31,0.0747
