

     Angle,       PSD,
    22.141,       540,
    22.151,       590,
    22.161,       558,
    22.171,       590,
    22.181,       574,
   22.1909,       586,
   22.2009,       577,
   22.2109,       574,
   22.2209,       606,
   22.2308,       563,
   22.2408,       561,
   22.2508,       603,
   22.2608,       618,
   22.2707,       614,
   22.2807,       564,
   22.2907,       567,
   22.3007,       577,
   22.3106,       589,
   22.3206,       558,
   22.3306,       589,
   22.3406,       578,
   22.3505,       577,
   22.3605,       585,
   22.3705,       520,
   22.3805,       605,
   22.3905,       590,
   22.4004,       589,
   22.4104,       565,
   22.4204,       630,
   22.4304,       612,
   22.4403,       586,
   22.4503,       589,
   22.4603,       587,
   22.4703,       629,
   22.4802,       607,
   22.4902,       586,
   22.5002,       560,
   22.5102,       563,
   22.5201,       591,
   22.5301,       621,
   22.5401,       589,
   22.5501,       591,
     22.56,       691,
     22.57,       648,
     22.58,       659,
     22.59,       608,
      22.6,       630,
   22.6099,       578,
   22.6199,       633,
   22.6299,       591,
   22.6399,       612,
   22.6498,       610,
   22.6598,       614,
   22.6698,       630,
   22.6798,       565,
   22.6897,       605,
   22.6997,       626,
   22.7097,       602,
   22.7197,       634,
   22.7296,       647,
   22.7396,       562,
   22.7496,       627,
   22.7596,       587,
   22.7695,       593,
   22.7795,       640,
   22.7895,       594,
   22.7995,       582,
   22.8095,       635,
   22.8194,       639,
   22.8294,       617,
   22.8394,       609,
   22.8494,       616,
   22.8593,       603,
   22.8693,       635,
   22.8793,       609,
   22.8893,       617,
   22.8992,       615,
   22.9092,       565,
   22.9192,       574,
   22.9292,       602,
   22.9391,       569,
   22.9491,       629,
   22.9591,       648,
   22.9691,       612,
    22.979,       544,
    22.989,       583,
    22.999,       567,
    23.009,       568,
    23.019,       612,
   23.0289,       633,
   23.0389,       602,
   23.0489,       636,
   23.0589,       565,
   23.0688,       613,
   23.0788,       621,
   23.0888,       589,
   23.0988,       564,
   23.1087,       604,
   23.1187,       582,
   23.1287,       607,
   23.1387,       587,
   23.1486,       613,
   23.1586,       613,
   23.1686,       609,
   23.1786,       625,
   23.1885,       608,
   23.1985,       605,
   23.2085,       598,
   23.2185,       630,
   23.2285,       590,
   23.2384,       613,
   23.2484,       570,
   23.2584,       617,
   23.2684,       594,
   23.2783,       623,
   23.2883,       639,
   23.2983,       603,
   23.3083,       629,
   23.3182,       616,
   23.3282,       579,
   23.3382,       597,
   23.3482,       611,
   23.3581,       582,
   23.3681,       618,
   23.3781,       612,
   23.3881,       555,
   23.3981,       610,
    23.408,       587,
    23.418,       554,
    23.428,       598,
    23.438,       574,
   23.4479,       569,
   23.4579,       628,
   23.4679,       568,
   23.4779,       570,
   23.4878,       573,
   23.4978,       565,
   23.5078,       622,
   23.5178,       571,
   23.5277,       602,
   23.5377,       612,
   23.5477,       562,
   23.5577,       579,
   23.5676,       602,
   23.5776,       603,
   23.5876,       616,
   23.5976,       565,
   23.6076,       573,
   23.6175,       642,
   23.6275,       583,
   23.6375,       614,
   23.6475,       638,
   23.6574,       674,
   23.6674,       625,
   23.6774,       602,
   23.6874,       606,
   23.6973,       619,
   23.7073,       602,
   23.7173,       629,
   23.7273,       639,
   23.7372,       614,
   23.7472,       623,
   23.7572,       590,
   23.7672,       633,
   23.7771,       642,
   23.7871,       603,
   23.7971,       669,
   23.8071,       628,
   23.8171,       635,
    23.827,       578,
    23.837,       634,
    23.847,       610,
    23.857,       657,
   23.8669,       597,
   23.8769,       616,
   23.8869,       623,
   23.8969,       615,
   23.9068,       611,
   23.9168,       617,
   23.9268,       626,
   23.9368,       590,
   23.9467,       585,
   23.9567,       613,
   23.9667,       623,
   23.9767,       591,
   23.9866,       623,
   23.9966,       610,
   24.0066,       549,
   24.0166,       609,
   24.0266,       619,
