,yyyymm,Ret,Rfree,ExRet,DP,EP,VOL,BILL,BOND,TERM,CREDIT,PPIG,IPG,MA112,MA312,MOM6,DPL1,EPL1,VOLL1,BILLL1,BONDL1,TERML1,CREDITL1,PPIGL1,IPGL1,MA112L1,MA312L1,MOM6L1
376,195805,0.021313,0.000758,0.020555,-3.230436,-2.687621,0.131982,-0.015983,-0.002775,0.0200,0.0044,0.316456,0.981514,1,1,1,-3.207961,-2.649703,0.138285,-0.015900,-0.003267,0.0181,0.0049,-0.315457,-1.655103,1.0,0.0,1.0
377,195806,0.027998,0.000692,0.027306,-3.263860,-2.736979,0.141856,-0.016392,-0.001367,0.0233,0.0033,-0.315457,2.639076,1,1,1,-3.230436,-2.687621,0.131982,-0.015983,-0.002775,0.0200,0.0044,0.316456,0.981514,1.0,1.0,1.0
378,195807,0.043960,0.000758,0.043202,-3.306061,-2.784885,0.154235,-0.015142,0.000717,0.0260,0.0024,0.000000,1.488395,1,1,1,-3.263860,-2.736979,0.141856,-0.016392,-0.001367,0.0233,0.0033,-0.315457,2.639076,1.0,1.0,1.0
379,195808,0.017999,0.001408,0.016591,-3.317858,-2.802417,0.143019,-0.012467,0.003483,0.0280,0.0014,0.000000,2.000039,1,1,1,-3.306061,-2.784885,0.154235,-0.015142,0.000717,0.0260,0.0024,0.000000,1.488395,1.0,1.0,1.0
380,195809,0.050837,0.002033,0.048804,-3.365101,-2.855432,0.140471,-0.003267,0.004250,0.0211,0.0029,0.000000,0.914798,1,1,1,-3.317858,-2.802417,0.143019,-0.012467,0.003483,0.0280,0.0014,0.000000,2.000039,1.0,1.0,1.0
381,195810,0.027370,0.002192,0.025178,-3.386306,-2.879330,0.136324,0.005142,0.003608,0.0130,0.0037,-0.316456,1.166108,1,1,1,-3.365101,-2.855432,0.140471,-0.003267,0.004250,0.0211,0.0029,0.000000,0.914798,1.0,1.0,1.0
382,195811,0.028617,0.002225,0.026392,-3.404635,-2.900329,0.138101,0.007833,0.002775,0.0105,0.0041,0.317460,2.944780,1,1,1,-3.386306,-2.879330,0.136324,0.005142,0.003608,0.0130,0.0037,-0.316456,1.166108,1.0,1.0,1.0
383,195812,0.054112,0.002308,0.051804,-3.451528,-2.949888,0.144140,0.008767,0.003683,0.0115,0.0026,0.000000,0.124411,1,1,1,-3.404635,-2.900329,0.138101,0.007833,0.002775,0.0105,0.0041,0.317460,2.944780,1.0,1.0,1.0
384,195901,0.006331,0.002350,0.003981,-3.451521,-2.928627,0.129962,0.009992,0.005633,0.0131,0.0004,0.316456,1.490622,1,1,1,-3.451528,-2.949888,0.144140,0.008767,0.003683,0.0115,0.0026,0.000000,0.124411,1.0,1.0,1.0
385,195902,0.006711,0.002250,0.004461,-3.447556,-2.903999,0.127285,0.010175,0.004392,0.0120,0.0012,0.000000,1.958453,1,1,1,-3.451521,-2.928627,0.129962,0.009992,0.005633,0.0131,0.0004,0.316456,1.490622,1.0,1.0,1.0
